iter	Passed	Remaining
1102	66310	23866
1103	66358	23802
1104	66453	23754
1105	66500	23689
1106	66549	23625
1107	66602	23563
1108	66657	23501
1109	66709	23438
1110	66758	23374
1111	66803	23309
1112	66853	23245
1113	66910	23184
1114	66958	23120
1115	67009	23056
1116	67056	22992
1117	67104	22928
1118	67151	22863
1119	67208	22802
1120	67255	22738
1121	67303	22674
1122	67355	22611
1123	67403	22547
1124	67458	22486
1125	67533	22431
1126	67582	22367
1127	67631	22303
1128	67676	22239
1129	67731	22177
1130	67780	22114
1131	67829	22050
1132	67881	21987
1133	67931	21924
1134	67978	21861
1135	68029	21798
1136	68079	21735
1137	68132	21673
1138	68194	21613
1139	68243	21550
1140	68295	21488
1141	68347	21426
1142	68396	21362
1143	68444	21299
1144	68504	21239
1145	68588	21187
1146	68635	21123
1147	68688	21061
1148	68745	21000
1149	68792	20936
1150	68854	20877
1151	68906	20815
1152	68962	20754
1153	69136	20728
1154	69225	20677
1155	69280	20616
1156	69336	20555
1157	69469	20516
1158	69626	20485
1159	69860	20476
1160	70017	20444
1161	70170	20410
1162	70228	20349
1163	70284	20288
1164	70338	20226
1165	70395	20164
1166	70448	20102
1167	70498	20038
1168	70549	19976
1169	70599	19912
1170	70649	19849
1171	70700	19786
1172	70750	19723
1173	70833	19669
1174	70885	19606
1175	70938	19544
1176	70985	19480
1177	71037	19417
1178	71089	19355
1179	71138	19291
1180	71187	19228
1181	71237	19165
1182	71286	19102
1183	71335	19038
1184	71386	18976
1185	71439	18914
1186	71488	18850
1187	71536	18787
1188	71589	18725
1189	71645	18663
1190	71695	18601
1191	71742	18537
1192	71791	18474
1193	71893	18424
1194	71941	18361
1195	71989	18298
1196	72033	18234
1197	72085	18171
1198	72134	18108
1199	72186	18046
1200	72237	17984
1201	72288	17921
1202	72338	17859
1203	72389	17796
1204	72439	17734
1205	72487	17671
1206	72537	17608
1207	72592	17547
1208	72641	17484
1209	72684	17420
1210	72735	17357
1211	72783	17294
1212	72830	17232
1213	72880	17169
1214	72973	17117
1215	73023	17054
1216	73072	16992
1217	73121	16929
1218	73167	16866
1219	73218	16804
1220	73268	16742
1221	73315	16678
1222	73364	16616
1223	73422	16556
1224	73480	16495
1225	73540	16435
1226	73595	16374
1227	73645	16312
1228	73695	16250
1229	73748	16188
1230	73800	16127
1231	73850	16064
1232	73901	16003
1233	73955	15941
1234	74046	15888
1235	74092	15825
1236	74144	15763
1237	74196	15702
1238	74248	15640
1239	74299	15578
1240	74349	15517
1241	74399	15454
1242	74451	15393
1243	74504	15332
1244	74555	15270
1245	74603	15208
1246	74650	15145
1247	74698	15083
1248	74750	15021
1249	74797	14959
1250	74847	14897
1251	74896	14835
1252	74943	14773
1253	74991	14711
1254	75048	14650
1255	75134	14596
1256	75185	14534
1257	75234	14472
1258	75281	14410
1259	75326	14347
1260	75379	14286
1261	75422	14223
1262	75472	14162
1263	75519	14100
1264	75570	14038
1265	75625	13978
1266	75675	13916
1267	75722	13854
1268	75771	13792
1269	75818	13730
1270	75869	13669
1271	75919	13608
1272	75968	13546
1273	76019	13485
1274	76072	13424
1275	76123	13363
1276	76213	13308
1277	76259	13246
1278	76306	13185
1279	76353	13123
1280	76403	13061
1281	76450	13000
1282	76504	12939
1283	76553	12878
1284	76607	12817
1285	76654	12755
1286	76709	12695
1287	76757	12633
1288	76807	12572
1289	76854	12511
1290	76905	12450
1291	76973	12391
1292	77016	12329
1293	77066	12268
1294	77116	12207
1295	77162	12145
1296	77251	12090
1297	77305	12030
1298	77353	11969
1299	77398	11907
1300	77446	11846
1301	77498	11785
1302	77560	11726
1303	77612	11665
1304	77661	11604
1305	77707	11543
1306	77763	11482
1307	77811	11421
1308	77858	11360
1309	77908	11299
1310	77958	11238
1311	78006	11177
1312	78063	11117
1313	78113	11057
1314	78170	10997
1315	78218	10936
1316	78273	10876
1317	78352	10819
1318	78402	10758
1319	78458	10698
1320	78504	10637
1321	78553	10576
1322	78607	10516
1323	78658	10456
1324	78705	10395
1325	78752	10334
1326	78812	10274
1327	78862	10214
1328	78907	10152
1329	78957	10092
1330	79010	10032
1331	79057	9971
1332	79109	9910
1333	79158	9850
1334	79207	9789
1335	79258	9729
1336	79308	9668
1337	79378	9610
1338	79447	9552
1339	79495	9491
1340	79540	9430
1341	79590	9370
1342	79639	9310
1343	79686	9249
1344	79733	9188
1345	79782	9128
1346	79827	9067
1347	79878	9007
1348	79930	8946
1349	80000	8888
1350	80051	8828
1351	80108	8769
1352	80181	8711
1353	80236	8651
1354	80285	8591
1355	80349	8532
1356	80409	8473
1357	80492	8416
1358	80540	8356
1359	80596	8296
1360	80648	8236
1361	80696	8176
1362	80751	8116
1363	80801	8056
1364	80854	7996
1365	80902	7936
1366	80953	7876
1367	81003	7816
1368	81050	7755
1369	81097	7695
1370	81148	7635
1371	81198	7575
1372	81245	7515
1373	81304	7455
1374	81355	7395
1375	81404	7335
1376	81455	7275
1377	81533	7218
1378	81594	7159
1379	81645	7099
1380	81691	7039
1381	81742	6979
1382	81787	6919
1383	81856	6860
1384	81906	6800
1385	81954	6740
1386	82007	6681
1387	82052	6620
1388	82100	6560
1389	82150	6501
1390	82201	6441
1391	82249	6381
1392	82299	6321
1393	82348	6261
1394	82397	6201
1395	82445	6142
1396	82494	6082
1397	82546	6022
1398	82635	5965
1399	82683	5905
1400	82735	5846
1401	82784	5786
1402	82841	5727
1403	82904	5668
1404	82965	5609
1405	83011	5549
1406	83062	5490
1407	83112	5430
1408	83170	5371
1409	83216	5311
1410	83263	5251
1411	83311	5192
1412	83360	5132
1413	83408	5072
1414	83459	5013
1415	83504	4953
1416	83555	4894
1417	83602	4834
1418	83702	4777
1419	83751	4718
1420	83798	4658
1421	83846	4599
1422	83900	4539
1423	83945	4480
1424	84000	4421
1425	84054	4361
1426	84108	4302
1427	84159	4243
1428	84214	4184
1429	84266	4124
1430	84316	4065
1431	84367	4006
1432	84416	3946
1433	84465	3887
1434	84517	3828
1435	84563	3768
1436	84612	3709
1437	84666	3650
1438	84753	3592
1439	84804	3533
1440	84852	3474
1441	84901	3414
1442	84949	3355
1443	84997	3296
1444	85057	3237
1445	85109	3178
1446	85160	3119
1447	85213	3060
1448	85262	3000
1449	85313	2941
1450	85360	2882
1451	85415	2823
1452	85463	2764
1453	85525	2705
1454	85575	2646
1455	85620	2587
1456	85672	2528
1457	85721	2469
1458	85796	2411
1459	85862	2352
1460	85912	2293
1461	85958	2234
1462	86004	2175
1463	86051	2116
1464	86100	2057
1465	86146	1997
1466	86194	1938
1467	86245	1880
1468	86292	1821
1469	86339	1762
1470	86396	1703
1471	86446	1644
1472	86493	1585
1473	86543	1526
1474	86594	1467
1475	86639	1408
1476	86691	1349
1477	86737	1291
1478	86786	1232
1479	86872	1173
1480	86925	1115
1481	86976	1056
1482	87028	997
1483	87081	938
1484	87137	880
1485	87186	821
1486	87241	762
1487	87294	703
1488	87344	645
1489	87392	586
1490	87451	527
1491	87509	469
1492	87558	410
1493	87610	351
1494	87659	293
1495	87706	234
1496	87760	175
1497	87807	117
1498	87856	58
1499	87943	0
